CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
American Choice Solar ACS-230-P,47.4,1.567,60,8.18,37.1,7.65,29.9,0.008344,-0.13393,1.6878,8.186,2.3e-009,0.311,460.72,17.95,-0.495,Multi-c-Si
American Choice Solar ACS-235-M,49.9,1.635,60,8.54,37,8.02,29.3,0.00743,-0.13653,1.628,8.543,1.15e-009,0.383,1239.53,8.714,-0.482,Mono-c-Si
American Choice Solar ACS-240-M,49.9,1.635,60,8.58,37.1,8.07,29.7,0.007465,-0.1369,1.6417,8.582,1.31e-009,0.335,1448.61,9.87,-0.482,Mono-c-Si
American Choice Solar ACS-245-M,49.9,1.635,60,8.62,37.2,8.1,30.2,0.007499,-0.13727,1.6611,8.623,1.61e-009,0.272,721.36,11.7,-0.482,Mono-c-Si
American Choice Solar ACS-250-M,49.9,1.635,60,8.66,37.3,8.15,30.7,0.007534,-0.13764,1.6778,8.662,1.91e-009,0.211,757.71,13.21,-0.482,Mono-c-Si
American Choice Solar ACS-335-M,47.3,2.142,80,9,49.9,8.07,41.5,0.0081,-0.17964,2.3872,9.018,7.05e-009,0.176,86.67,29.04,-0.51,Mono-c-Si
American Solar Wholesale ASW-175M,45.8,1.277,72,5.25,44.2,4.89,35.8,0.002289,-0.17061,2.0122,5.255,1.492e-009,0.536,529.61,10.8,-0.536,Mono-c-Si
American Solar Wholesale ASW-180M,45.8,1.277,72,5.36,44.2,4.97,36.2,0.002337,-0.17061,2.0318,5.366,1.872e-009,0.427,363.01,12.7,-0.536,Mono-c-Si
American Solar Wholesale ASW-185M,45.8,1.277,72,5.37,44.6,4.95,37.4,0.002341,-0.17216,2.0897,5.374,2.8e-009,0.216,260.33,16.5,-0.536,Mono-c-Si
American Solar Wholesale ASW-215P,45.9,1.634,60,7.74,36.12,7.21,29.8,0.00387,-0.1192,1.5276,7.749,4.079e-010,0.246,205.35,13.1,-0.45,Multi-c-Si
American Solar Wholesale ASW-220P,45.9,1.634,60,7.77,36.24,7.35,29.9,0.003885,-0.11959,1.5192,7.772,3.379e-010,0.248,1269.25,11.3,-0.45,Multi-c-Si
American Solar Wholesale ASW-225M,46.3,1.634,60,7.86,36.34,7.47,30.12,0.00393,-0.12719,1.6069,7.89,1.189e-009,0.201,100000,16,-0.5,Mono-c-Si
American Solar Wholesale ASW-225P,45.9,1.634,60,7.86,36.33,7.44,30.2,0.00393,-0.11989,1.5286,7.861,3.735e-010,0.211,1254.04,12.1,-0.45,Multi-c-Si
American Solar Wholesale ASW-230M,46.3,1.634,60,7.9,36.36,7.58,30.36,0.00395,-0.12726,1.613,8,1.298e-009,0.164,100000,16.7,-0.5,Mono-c-Si
American Solar Wholesale ASW-230P,45.9,1.634,60,8.63,36.8,7.77,29.6,0.004315,-0.12144,1.5653,8.672,5.012e-010,0.333,67.72,14.1,-0.45,Multi-c-Si
American Solar Wholesale ASW-235M,46.3,1.634,60,8.31,37.1,7.81,30.1,0.004155,-0.12985,1.627,8.314,1.031e-009,0.292,655.25,14.2,-0.5,Mono-c-Si
American Solar Wholesale ASW-235P,45.9,1.634,60,8.34,37.08,7.66,30.7,0.00417,-0.12236,1.585,8.356,5.545e-010,0.214,110.49,15.3,-0.45,Multi-c-Si
American Solar Wholesale ASW-240M-60,46.3,1.634,60,8.34,37.2,7.69,31.2,0.00417,-0.1302,1.6844,8.348,2.067e-009,0.131,133.17,20.9,-0.5,Mono-c-Si
American Solar Wholesale ASW-245M,46.3,1.634,60,8.35,37.48,7.76,31.6,0.004175,-0.13118,1.6943,8.355,2.013e-009,0.109,183.68,20.6,-0.5,Mono-c-Si
American Solar Wholesale AWS-250P,43.5,1.934,72,7.76,43.22,7.1,35.2,0.002737,-0.13087,1.7854,7.784,2.28e-010,0.379,122.79,17.9,-0.441,Multi-c-Si
American Solar Wholesale ASW-260M,46.3,1.934,72,7.98,43.42,7.18,36.1,0.00399,-0.15197,1.9886,7.998,2.468e-009,0.2,87.48,23.2,-0.5,Mono-c-Si
American Solar Wholesale ASW-260P,43.5,1.934,72,7.98,43.42,7.17,36.22,0.002815,-0.13148,1.8402,8.003,4.218e-010,0.225,79.76,23.7,-0.441,Multi-c-Si
American Solar Wholesale ASW-265M,46.3,1.934,72,8.06,43.54,7.33,36.15,0.00403,-0.15239,1.9778,8.076,2.112e-009,0.212,109.39,21.5,-0.5,Mono-c-Si
American Solar Wholesale ASW-270M,46.3,1.934,72,8.08,43.63,7.38,35.58,0.00404,-0.15271,1.9543,8.1,1.562e-009,0.318,125.56,18.5,-0.5,Mono-c-Si
American Solar Wholesale ASW-270P,43.5,1.934,72,8.08,43.63,7.38,36.58,0.00285,-0.13211,1.8347,8.095,3.621e-010,0.2,110.11,22,-0.441,Multi-c-Si
American Solar Wholesale ASW-275M,46.3,1.934,72,8.09,43.79,7.48,36.76,0.004045,-0.15327,1.9808,8.097,1.967e-009,0.155,178.93,20.7,-0.5,Mono-c-Si
American Solar Wholesale ASW-280M,46.3,1.934,72,8.14,43.99,7.57,37.01,0.00407,-0.15397,1.9848,8.145,1.885e-009,0.144,230.39,20.2,-0.5,Mono-c-Si
American Value SM240-5M,50,1.69,96,5.1,59.61,4.77,50.3,0.003213,-0.2134,2.5997,5.103,5.52e-010,0.318,627.99,10.44,-0.453,Mono-c-Si
American Value SM245-5M,50,1.69,96,5.18,59.76,4.84,50.54,0.003263,-0.21394,2.6114,5.183,5.85e-010,0.286,577.1,10.84,-0.453,Mono-c-Si
American Value SM250-5M,50,1.69,96,5.25,59.9,4.92,50.78,0.003308,-0.21444,2.6163,5.252,5.89e-010,0.256,686.32,10.77,-0.453,Mono-c-Si
American Value SM255-5M,50,1.69,96,5.35,59.95,5,50.98,0.003371,-0.21462,2.6279,5.352,6.49e-010,0.212,556.24,11.48,-0.453,Mono-c-Si
American Value SM260-5M,50,1.69,96,5.43,60.09,5.07,51.25,0.003421,-0.21512,2.6402,5.432,6.93e-010,0.173,515.05,11.96,-0.453,Mono-c-Si
Andalay Solar ST_165_1_DC0_0_B,49.9,1.277,72,5.04,43.6,4.74,34.8,0.002853,-0.15609,1.9021,5.041,5.57e-010,0.706,2448.51,10.5,-0.498,Mono-c-Si
Andalay Solar ST165-1,49.9,1.277,72,5.04,43.6,4.74,34.8,0.002822,-0.15609,1.9011,5.041,5.504e-010,0.707,2424.82,10.4,-0.498,Mono-c-Si
Andalay Solar ST_170_1_DC0_0_B,46.4,1.277,72,5.14,43.8,4.83,35.2,0.002262,-0.14104,1.7765,5.144,9.987e-011,0.697,820.72,7,-0.435,Mono-c-Si
Andalay Solar ST170-1,46.4,1.277,72,5.14,43.8,4.83,35.2,0.002262,-0.14104,1.7765,5.144,9.987e-011,0.697,820.73,7,-0.435,Mono-c-Si
Andalay Solar ST_175_1_DC0_0_B,46.4,1.277,72,5.2,44.2,4.95,35.2,0.002288,-0.14232,1.7763,5.23,8.159e-011,0.768,100000,5.1,-0.435,Mono-c-Si
Andalay Solar ST175-1,46.4,1.277,72,5.2,44.2,4.95,35.2,0.002288,-0.14232,1.794,5.233,1.043e-010,0.76,100000,7.2,-0.435,Mono-c-Si
Andalay Solar ST-175-1AC1-A-A,46.4,1.277,72,5.2,44.2,4.95,35.2,0.002288,-0.14232,1.7787,5.255,8.43e-011,0.765,1529.52,5.522,-0.435,Mono-c-Si
Andalay Solar ST-175-1AC3-B-A,46.4,1.277,72,5.2,44.2,4.95,35.2,0.002288,-0.14232,1.7787,5.255,8.43e-011,0.765,1529.52,5.522,-0.435,Mono-c-Si
Andalay Solar KC180-1,46,1.325,48,8.35,29.5,7.63,23.6,0.00167,-0.09735,1.1773,8.385,1.049e-010,0.314,74.91,1.2,-0.43,Multi-c-Si
Andalay Solar ST_180_1_DC0_0_B,46.4,1.277,72,5.4,44.4,5.05,35.6,0.002376,-0.14297,1.8028,5.407,1.071e-010,0.691,504.96,7.2,-0.435,Mono-c-Si
Andalay Solar ST180-1,46.4,1.277,72,5.4,44.4,5.05,35.6,0.002376,-0.14297,1.8028,5.407,1.071e-010,0.691,504.96,7.2,-0.435,Mono-c-Si
Andalay Solar ST_185_1_DC0_0_B,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8563,5.435,1.589e-010,0.614,612.67,9.1,-0.436,Mono-c-Si
Andalay Solar ST-185-1,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8563,5.435,1.589e-010,0.614,612.67,9.1,-0.436,Mono-c-Si
Andalay Solar ST-185-1AC1-A-A,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8554,5.435,1.57e-010,0.614,611.33,9.16,-0.436,Mono-c-Si
Andalay Solar ST-185-1AC1-A-B,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8554,5.435,1.57e-010,0.614,611.33,9.16,-0.436,Mono-c-Si
Andalay Solar ST-185-1AC3-B-A,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8554,5.435,1.57e-010,0.614,611.33,9.16,-0.436,Mono-c-Si
Andalay Solar ST-185-1AC3-B-B,45.8,1.277,72,5.43,45,5.09,36.4,0.002987,-0.1467,1.8554,5.435,1.57e-010,0.614,611.33,9.16,-0.436,Mono-c-Si
Andalay Solar ST_190_1_DC0_0_B,45.8,1.277,72,5.62,45.2,5.2,36.6,0.003091,-0.14735,1.8788,5.632,1.95e-010,0.586,267.59,10.81,-0.436,Mono-c-Si
Andalay Solar ST-190-1AC1-A-B,45.8,1.277,72,5.62,45.2,5.2,36.6,0.003091,-0.14735,1.8788,5.632,1.95e-010,0.586,267.59,10.81,-0.436,Mono-c-Si
Andalay Solar ST-190-1AC3-B-B,45.8,1.277,72,5.62,45.2,5.2,36.6,0.003091,-0.14735,1.8788,5.632,1.946e-010,0.586,267.59,10.81,-0.436,Mono-c-Si
Andalay Solar ST_195_1_DC0_0_B,45.8,1.277,72,5.69,45.4,5.33,36.6,0.00313,-0.148,1.869,5.696,1.58e-010,0.619,566.97,8.829,-0.436,Mono-c-Si
Andalay Solar ST-195-1AC1-A-B,45.8,1.277,72,5.69,45.4,5.33,36.6,0.00313,-0.148,1.869,5.696,1.58e-010,0.619,566.97,8.829,-0.436,Mono-c-Si
Andalay Solar ST-195-1AC3-B-B,45.8,1.277,72,5.69,45.4,5.33,36.6,0.00313,-0.148,1.869,5.696,1.584e-010,0.619,566.97,8.829,-0.436,Mono-c-Si
Andalay Solar KC205-1,46,1.485,54,8.36,33.2,7.71,26.6,0.001672,-0.10956,1.3188,8.386,9.432e-011,0.347,111.37,0.3,-0.43,Multi-c-Si
Andalay Solar KC210-1,46,1.485,54,8.58,33.2,7.9,26.6,0.001716,-0.10956,1.3202,8.608,9.917e-011,0.338,102.61,0.5,-0.43,Multi-c-Si
Andalay Solar LW-230-1-AC0-D-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.224e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-AC1-A-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.22e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-AC2-D-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.22e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-AC3-B-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.224e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-DC0-0-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.22e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-DC0-0-BL,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.22e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-230-1-DC1-0-B,48.2,1.619,60,8.38,36.6,7.87,29.2,0.005028,-0.12444,1.5267,8.386,3.22e-010,0.377,528.08,6.997,-0.45,Multi-c-Si
Andalay Solar LW-235-1-AC0-D-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.198e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-AC1-A-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.2e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-AC2-D-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.2e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-AC3-B-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.198e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-DC0-0-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.2e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-DC0-0-BL,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.2e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-235-1-DC1-0-B,48.2,1.619,60,8.45,37.2,8,29.6,0.00507,-0.12648,1.5501,8.542,3.2e-010,0.388,418.65,6.781,-0.45,Multi-c-Si
Andalay Solar LW-240-1-AC0-D-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.181e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-AC1-A-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.18e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-AC2-D-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.18e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-AC3-B-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.181e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-DC0-0-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.18e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-DC0-0-BL,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.18e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar LW-240-1-DC1-0-B,48.2,1.619,60,8.56,37.4,8.05,29.8,0.005136,-0.12716,1.5577,8.565,3.18e-010,0.382,688.47,6.693,-0.45,Multi-c-Si
Andalay Solar ST_260_1_DC0_0_B,46.1,1.94,72,8.09,44,7.47,34.8,0.004369,-0.13772,1.7637,8.116,1.15e-010,0.539,170.42,7.3,-0.415,Multi-c-Si
Andalay Solar ST_270_1_DC0_0_B,46.1,1.94,72,8.2,44.5,7.71,35,0.004428,-0.13929,1.7605,8.207,8.568e-011,0.566,702.17,4.6,-0.415,Multi-c-Si
Andalay Solar ST_280_1_DC0_0_B,46.1,1.94,72,8.33,44.8,7.95,35.2,0.004498,-0.14022,1.7653,8.407,8e-011,0.561,100000,3.8,-0.415,Multi-c-Si
Andalay Solar ST_290_1_DC0_0_B,46.1,1.94,72,8.4,44.8,7.95,36.5,0.004536,-0.14022,1.8012,8.402,1.322e-010,0.369,1476.04,8.1,-0.415,Multi-c-Si
Anji Dasol Solar Energy Science & Technology DS-A4-210,48.6,1.647,60,8,36.1,7.19,29.2,0.006957,-0.13971,1.697,8.03,4.358e-009,0.281,75.54,16.2,-0.505,Multi-c-Si
Anji Dasol Solar Energy Science & Technology DS-A4-215,48.6,1.647,60,8,36.3,7.31,29.4,0.006957,-0.14048,1.6885,8.019,3.55e-009,0.281,115.31,14.2,-0.505,Multi-c-Si
Anji Dasol Solar Energy Science & Technology DS-A4-220,48.6,1.647,60,8.1,36.5,7.44,29.6,0.007044,-0.14126,1.6933,8.116,3.413e-009,0.274,136.64,13.7,-0.505,Multi-c-Si
Anji Dasol Solar Energy Science & Technology DS-A4-225,48.6,1.647,60,8.2,36.7,7.55,29.8,0.007131,-0.14203,1.7015,8.215,3.421e-009,0.267,148.8,13.6,-0.505,Multi-c-Si
Anji Dasol Solar Energy Science & Technology DS-A4-230,48.6,1.647,60,8.3,36.9,7.67,30,0.007218,-0.1428,1.708,8.312,3.357e-009,0.26,173.37,13.3,-0.505,Multi-c-Si
Anji Technology AJP-S572-175,49.9,1.3,72,5.17,43.99,4.78,36.63,0.002146,-0.15911,1.9825,5.176,1.16e-009,0.316,287.34,16.1,-0.507,Mono-c-Si
Anji Technology AJP-S572-180,49.9,1.3,72,5.31,44.06,4.9,36.72,0.002204,-0.15932,1.9893,5.316,1.237e-009,0.3,259.26,16.5,-0.507,Mono-c-Si
Anji Technology AJP-S572-185,49.9,1.3,72,5.43,44.14,5.03,36.72,0.002253,-0.15961,1.986,5.436,1.177e-009,0.311,298.8,15.8,-0.507,Mono-c-Si
Anji Technology AJP-M660-220,50.2,1.624,60,7.95,36.06,7.3,30.12,0.004357,-0.13068,1.6742,7.959,3.392e-009,0.14,123.29,22,-0.52,Multi-c-Si
Anji Technology AJP-M660-225,50.2,1.624,60,8.04,36.24,7.44,30.24,0.004406,-0.13133,1.6727,8.047,3.05e-009,0.147,164.61,20.8,-0.52,Multi-c-Si
Anji Technology AJP-M660-230,46.4,1.624,60,8.1,36.42,7.58,30.36,0.007857,-0.13075,1.681,8.104,3.116e-009,0.152,341.46,21.6,-0.493,Multi-c-Si
Anji Technology AJP-M660-235,46.4,1.624,60,8.23,36.72,7.68,30.6,0.007983,-0.13182,1.6974,8.235,3.259e-009,0.151,268.92,21.9,-0.493,Multi-c-Si
Anji Technology AJP-M660-240,46.4,1.624,60,8.32,36.84,7.83,30.72,0.00807,-0.13226,1.6945,8.322,2.991e-009,0.15,707.49,20.9,-0.493,Multi-c-Si
Anji Technology AJP-M660-245,46.4,1.624,60,8.43,37.08,7.94,30.84,0.008177,-0.13312,1.7024,8.432,2.912e-009,0.161,887.63,20.5,-0.493,Multi-c-Si
Anji Technology AJP-M660-250,46.4,1.624,60,8.5,37.32,8.03,31.14,0.008245,-0.13398,1.7132,8.5,2.939e-009,0.147,2715.56,20.5,-0.493,Multi-c-Si
Antaris Solar AS P 230,45.9,1.623,60,8.46,37.05,7.98,28.81,0.005914,-0.13371,1.5186,8.557,2.14e-010,0.488,345.07,-2.762,-0.431,Multi-c-Si
Antaris Solar SM-230PC8,47.4,1.663,60,8.45,36.9,7.84,29.4,0.004394,-0.11513,1.5,8.47,1.709e-010,0.395,169.78,10.93,-0.43,Multi-c-Si
Antaris Solar SM-235PC8,47.4,1.663,60,8.51,37.1,7.89,29.8,0.004425,-0.11575,1.5158,8.529,1.945e-010,0.358,158.89,12.03,-0.43,Multi-c-Si
Antaris Solar SM-240PC8,47.4,1.663,60,8.58,37.3,8.02,30,0.004462,-0.11638,1.5181,8.592,1.802e-010,0.352,252.47,11.24,-0.43,Multi-c-Si
Antaris Solar SM-245PC8,47.4,1.663,60,8.63,37.4,8.08,30.4,0.004488,-0.11669,1.5299,8.64,2.053e-010,0.304,266.76,12.36,-0.43,Multi-c-Si
Antaris Solar SM-250PC8,47.4,1.663,60,8.67,37.5,8.14,30.8,0.004508,-0.117,1.5406,8.677,2.296e-010,0.258,312.94,13.32,-0.43,Multi-c-Si
Antaris Solar SM-275PC8,44.2,1.983,72,8.39,44.2,7.78,35.4,0.002098,-0.14056,1.7819,8.41,1.38e-010,0.454,190.56,7.358,-0.443,Multi-c-Si
Antaris Solar SM-280PC8,44.2,1.983,72,8.45,44.3,7.84,35.8,0.002113,-0.14087,1.7946,8.468,1.566e-010,0.404,188.74,8.388,-0.443,Multi-c-Si
Antaris Solar SM-285PC8,44.2,1.983,72,8.56,44.5,7.95,35.9,0.00214,-0.14151,1.7999,8.578,1.528e-010,0.41,197.21,8.063,-0.443,Multi-c-Si
Antaris Solar SM-290PC8,44.2,1.983,72,8.58,44.7,8.02,36.2,0.002145,-0.14215,1.8053,8.592,1.488e-010,0.391,279.8,7.787,-0.443,Multi-c-Si
Antaris Solar SM-295PC8,44.2,1.983,72,8.67,45,8.14,36.3,0.002168,-0.1431,1.8089,8.679,1.346e-010,0.41,411.56,6.817,-0.443,Multi-c-Si
Apollo Solar Energy ASEC-120G6M,46.1,0.983,36,7.49,21.6,6.93,17.33,0.001603,-0.07126,0.8964,7.508,2.5e-010,0.236,99.32,9.4,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-125G6M,46.1,0.983,36,7.89,21.58,7.28,17.19,0.001688,-0.07119,0.8931,7.912,2.457e-010,0.244,85.84,8.8,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-125G6S,45.8,0.983,36,8.01,21.55,7.23,17.29,0.003388,-0.07321,0.9256,8.048,5.868e-010,0.214,45.65,13,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-130G6M,46.1,0.983,36,7.93,21.66,7.45,17.54,0.001697,-0.07146,0.896,7.936,2.487e-010,0.199,256.99,8.8,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-130G6S,45.8,0.983,36,8.11,21.96,7.44,17.48,0.003431,-0.0746,0.9294,8.137,4.286e-010,0.239,71.37,10,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-135G6M,46.1,0.983,36,8.26,22.1,7.64,17.68,0.001768,-0.07291,0.9159,8.28,2.664e-010,0.227,91.76,9.1,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-135G6S,45.8,0.983,36,8.27,22.15,7.7,17.54,0.003498,-0.07524,0.9262,8.284,3.344e-010,0.251,145.62,7.6,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-140G6M,46.1,0.983,36,8.57,22.25,7.89,17.75,0.001834,-0.0734,0.9231,8.596,2.823e-010,0.228,74.61,9.3,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-140G6S,45.8,0.983,36,8.47,22.25,7.95,17.62,0.003583,-0.07558,0.9266,8.476,3.133e-010,0.246,332.32,6.8,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-145G6M49,50,0.986,36,8.66,22.32,8.14,17.81,0.005699,-0.07649,0.9453,8.665,4.8e-010,0.218,418.03,9.252,-0.461,Multi-c-Si
Apollo Solar Energy ASEC-145G6S49,51.4,0.986,36,8.64,22.38,8.2,17.68,0.006299,-0.07676,0.9386,8.731,3.83e-010,0.244,466.86,7.033,-0.45,Mono-c-Si
Apollo Solar Energy ASEC-150G6M49,50,0.986,36,8.81,22.4,8.37,17.92,0.005798,-0.07676,0.9492,8.902,5e-010,0.207,451.43,9.375,-0.461,Multi-c-Si
Apollo Solar Energy ASEC-150G6S49,51.4,0.986,36,8.78,22.48,8.43,17.79,0.006401,-0.07711,0.9423,8.96,3.89e-010,0.234,691.62,6.946,-0.45,Mono-c-Si
Apollo Solar Energy ASEC-155G6M49,50,0.986,36,8.98,22.53,8.58,18.07,0.00591,-0.07721,0.958,9.169,5.54e-010,0.196,215.06,10.06,-0.461,Multi-c-Si
Apollo Solar Energy ASEC-155G6S49,51.4,0.986,36,8.96,22.58,8.64,17.94,0.006532,-0.07745,0.9511,9.241,4.47e-010,0.219,212.18,7.928,-0.45,Mono-c-Si
Apollo Solar Energy ASEC-175G6M,45.9,1.304,48,8.03,29.29,7.48,23.41,0.007147,-0.10252,1.3002,8.04,1.302e-009,0.289,237.61,16.3,-0.483,Multi-c-Si
Apollo Solar Energy ASEC-175G6S,45.1,1.304,48,8.24,29.57,7.46,23.51,0.007498,-0.10556,1.3805,8.272,3.919e-009,0.288,73.54,24.6,-0.522,Mono-c-Si
Apollo Solar Energy ASEC-180G6M,45.9,1.304,48,8.15,29.51,7.61,23.68,0.007254,-0.10329,1.3111,8.158,1.351e-009,0.272,283.66,16.5,-0.483,Multi-c-Si
Apollo Solar Energy ASEC-180G6S,45.1,1.304,48,8.3,29.73,7.58,23.82,0.007553,-0.10614,1.3868,8.323,3.918e-009,0.26,93.09,24.5,-0.522,Mono-c-Si
Apollo Solar Energy ASEC-185G6M,45.9,1.304,48,8.23,29.76,7.79,23.75,0.00732,-0.10419,1.3102,8.265,1.127e-009,0.291,100000,14.6,-0.483,Multi-c-Si
Apollo Solar Energy ASEC-185G6S,45.1,1.304,48,8.33,29.9,7.63,24.28,0.00758,-0.10674,1.4035,8.347,4.501e-009,0.209,99.74,25.9,-0.522,Mono-c-Si
Apollo Solar Energy ASEC-190G6M,43.9,1.407,54,7.87,32.85,7.56,25.18,0.014402,-0.13633,1.6396,8.127,1.618e-008,0.437,100000,19.6,-0.572,Multi-c-Si
Apollo Solar Energy ASEC-190G6M68,46.1,1.304,48,8.35,29.81,7.97,23.84,0.001787,-0.09834,1.2193,8.424,2.032e-010,0.302,100000,6.5,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-190G6S,44.2,1.407,54,8.01,32.83,7.53,25.25,0.010894,-0.1218,1.511,8.052,2.951e-009,0.458,100000,16.7,-0.514,Mono-c-Si
Apollo Solar Energy ASEC-190G6S68,45.8,1.304,48,8.51,29.71,8.05,23.61,0.0036,-0.10092,1.2352,8.522,3.051e-010,0.314,100000,6.5,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-195G6M,43.9,1.407,54,8.11,32.94,7.63,25.59,0.015409,-0.13832,1.6696,8.191,2.213e-008,0.377,100000,21.2,-0.572,Multi-c-Si
Apollo Solar Energy ASEC-195G6M68,46.1,1.304,48,8.48,29.87,8.16,23.9,0.001815,-0.09854,1.2218,8.624,2.079e-010,0.294,100000,6.5,-0.47,Multi-c-Si
Apollo Solar Energy ASEC-195G6S,45.1,1.407,54,8.21,32.95,7.71,25.31,0.011166,-0.12224,1.5158,8.246,2.991e-009,0.453,100000,16.6,-0.514,Mono-c-Si
Apollo Solar Energy ASEC-195G6S68,45.8,1.304,48,8.63,29.82,8.24,23.67,0.00365,-0.1013,1.2385,8.724,3.05e-010,0.312,100000,6.3,-0.468,Mono-c-Si
Apollo Solar Energy ASEC-200G6M,43.9,1.407,54,8.31,33.03,7.85,25.5,0.015789,-0.13873,1.6678,8.434,2.114e-008,0.392,100000,20.4,-0.572,Multi-c-Si
Apollo Solar Energy ASEC-200G6M68,50,1.304,48,8.65,29.95,8.31,24.07,0.005693,-0.10264,1.271,8.827,5.13e-010,0.263,726.69,9.691,-0.461,Multi-c-Si
Apollo Solar Energy ASEC-200G6S,44.2,1.407,54,8.24,33.53,7.89,25.38,0.011206,-0.1244,1.5276,8.454,2.482e-009,0.509,100000,14.6,-0.514,Mono-c-Si
Apollo Solar Energy ASEC-200G6S68,51.4,1.304,48,8.77,29.93,8.39,23.84,0.006393,-0.10266,1.2619,8.953,4.44e-010,0.291,364.1,8.131,-0.45,Mono-c-Si
Apollo Solar Energy ASEC-205G6M,43.9,4.407,54,8.61,33.58,7.93,25.87,0.016359,-0.141,1.7064,8.622,2.417e-008,0.398,283.63,21.6,-0.572,Multi-c-Si
Apollo Solar Energy ASEC-205G6M68,50,1.304,48,8.83,30.03,8.46,24.23,0.005811,-0.10291,1.2794,9.013,5.72e-010,0.245,386.75,10.48,-0.461,Multi-c-Si
